,èäìæ,ízîNêî,ínàÊêlå˚,à‹ìx,åoìx,èZëÓâøäi,ïîâÆêî/êl,êQé∫êî/êl
21,1.7135,42.0,929.0,37.85,-122.27,1.598,1.7642626480086114,0.39504843918191596
22,1.725,52.0,1015.0,37.84,-122.27,1.139,2.4,0.5330049261083744
23,2.1806,52.0,853.0,37.84,-122.27,0.997,1.9788980070339979,0.3950762016412661
24,2.6,52.0,1006.0,37.84,-122.27,1.326,2.210735586481113,0.4343936381709742
25,2.4038,41.0,317.0,37.85,-122.28,1.075,1.6876971608832807,0.38801261829653
26,2.4597,49.0,607.0,37.85,-122.28,0.938,1.8616144975288302,0.40197693574958815
27,1.808,52.0,1102.0,37.85,-122.28,1.055,1.7223230490018149,0.38203266787658796
28,1.6424,50.0,1131.0,37.84,-122.28,1.089,1.8408488063660473,0.43501326259946943
29,1.6875,52.0,395.0,37.84,-122.28,1.32,1.8455696202531646,0.4050632911392405
30,1.9274,49.0,863.0,37.84,-122.28,1.223,2.220162224797219,0.5179606025492467
31,1.9615,52.0,1168.0,37.84,-122.28,1.152,1.8433219178082192,0.4118150684931507
32,1.7969,48.0,1026.0,37.84,-122.27,1.104,1.8732943469785575,0.398635477582846
33,1.375,49.0,754.0,37.83,-122.27,1.049,2.1949602122015914,0.4854111405835544
34,2.7303,51.0,1258.0,37.83,-122.27,1.097,2.118441971383148,0.4562798092209857
35,1.4861,49.0,570.0,37.83,-122.27,0.972,2.1315789473684212,0.49473684210526314
36,1.0972,48.0,987.0,37.83,-122.27,1.045,1.8216818642350556,0.4376899696048632
37,1.4103,52.0,901.0,37.83,-122.28,1.039,1.677025527192009,0.4328523862375139
38,3.48,52.0,689.0,37.83,-122.26,1.914,2.1335268505079825,0.47895500725689405
39,2.5898,52.0,1377.0,37.83,-122.26,1.76,1.766158315177923,0.5192447349310094
40,2.0978,52.0,946.0,37.83,-122.26,1.554,1.7600422832980973,0.44291754756871043
41,1.2852,51.0,517.0,37.83,-122.26,1.5,1.8104448742746615,0.6015473887814313
42,1.025,49.0,462.0,37.84,-122.26,1.188,1.543290043290043,0.4372294372294372
43,3.9643,52.0,467.0,37.84,-122.26,1.888,2.0342612419700212,0.4325481798715203
44,3.0125,52.0,660.0,37.83,-122.26,1.844,2.1863636363636365,0.4712121212121212
45,2.6768,52.0,718.0,37.83,-122.26,1.823,2.306406685236769,0.584958217270195
46,2.026,50.0,616.0,37.83,-122.26,1.425,1.8262987012987013,0.5227272727272727
47,1.7348,43.0,558.0,37.82,-122.27,1.375,1.8046594982078852,0.5591397849462365
48,0.9506,40.0,423.0,37.82,-122.26,1.875,1.475177304964539,0.46099290780141844
49,1.775,40.0,700.0,37.82,-122.27,1.125,1.3514285714285714,0.5357142857142857
50,0.9218,21.0,735.0,37.82,-122.27,1.719,1.2190476190476192,0.6163265306122448
51,1.5045,43.0,1061.0,37.82,-122.27,0.938,1.760603204524034,0.4297832233741753
52,1.1108,41.0,1959.0,37.82,-122.27,0.975,1.6442062276671772,0.43542623787646756
53,1.2475,52.0,1162.0,37.82,-122.27,1.042,1.4027538726333908,0.39242685025817553
54,1.6098,52.0,701.0,37.82,-122.28,0.875,1.6690442225392297,0.33523537803138376
55,1.4113,52.0,576.0,37.82,-122.28,0.831,1.6406250000000002,0.421875
56,1.5057,52.0,622.0,37.82,-122.28,0.875,1.9903536977491962,0.4630225080385852
57,0.8172,52.0,728.0,37.82,-122.28,0.853,2.04532967032967,0.4601648351648351
58,1.2171,52.0,1074.0,37.82,-122.28,0.803,1.2914338919925512,0.31750465549348234
59,2.5625,2.0,94.0,37.82,-122.29,0.6,1.6808510638297873,0.4574468085106383
60,3.3929,52.0,554.0,37.83,-122.29,0.757,2.023465703971119,0.38086642599277976
61,6.1183,49.0,86.0,37.82,-122.29,0.75,1.569767441860465,0.3372093023255814
62,0.9011,50.0,377.0,37.81,-122.29,0.861,2.015915119363395,0.5039787798408487
63,1.191,52.0,521.0,37.81,-122.3,0.761,2.349328214971209,0.45489443378119
64,2.5938,48.0,392.0,37.81,-122.3,0.735,2.1122448979591835,0.4642857142857143
65,1.1667,52.0,604.0,37.81,-122.3,0.784,1.6721854304635762,0.34602649006622516
66,0.8056,48.0,788.0,37.81,-122.3,0.844,1.846446700507614,0.44923857868020295
67,2.6094,52.0,492.0,37.8,-122.29,0.813,2.08739837398374,0.4959349593495935
68,1.8516,52.0,274.0,37.81,-122.3,0.85,2.0875912408759123,0.3978102189781022
69,0.9802,46.0,1823.0,37.81,-122.29,1.292,1.5364783324190894,0.3532638507953922
70,1.7719,26.0,392.0,37.81,-122.29,0.825,1.9591836734693877,0.3877551020408163
71,0.7286,46.0,582.0,37.81,-122.29,0.952,1.6065292096219932,0.5103092783505154
72,1.75,49.0,560.0,37.81,-122.29,0.75,1.5071428571428571,0.36428571428571427
73,0.4999,46.0,18.0,37.81,-122.29,0.675,0.6666666666666665,0.22222222222222218
74,2.483,20.0,290.0,37.81,-122.29,1.375,2.8793103448275863,0.5551724137931034
75,0.9241,17.0,762.0,37.81,-122.28,1.775,1.6233595800524934,0.6062992125984252
76,2.4464,36.0,1236.0,37.81,-122.28,1.021,2.3576051779935274,0.4546925566343042
77,1.1111,19.0,721.0,37.81,-122.28,1.083,1.6740638002773924,0.33703190013869627
78,0.8026,23.0,1054.0,37.81,-122.29,1.125,1.6555977229601515,0.3548387096774194
79,2.0114,38.0,344.0,37.8,-122.28,1.313,1.9883720930232558,0.5116279069767442
80,1.5,17.0,609.0,37.81,-122.28,1.625,1.5172413793103448,0.4745484400656814
81,1.1667,52.0,183.0,37.81,-122.27,1.125,1.1475409836065573,0.30601092896174864
82,1.5208,52.0,200.0,37.81,-122.28,1.125,1.7,0.485
83,0.8075,52.0,346.0,37.81,-122.28,1.375,1.115606936416185,0.47398843930635837
84,1.8088,35.0,467.0,37.81,-122.28,1.188,2.0299785867237685,0.39400428265524623
85,2.4083,52.0,377.0,37.81,-122.28,0.982,2.050397877984085,0.3793103448275862
86,0.977,40.0,582.0,37.81,-122.27,1.188,1.5120274914089347,0.7749140893470791
87,0.76,10.0,546.0,37.81,-122.27,1.625,1.6025641025641026,0.6373626373626372
88,0.9722,10.0,125.0,37.8,-122.27,1.375,0.8400000000000001,0.336
90,2.0938,16.0,800.0,37.8,-122.27,1.625,1.2425,0.48999999999999994
91,0.8668,52.0,904.0,37.8,-122.28,1.375,0.23783185840707965,0.09623893805309734
92,0.75,52.0,191.0,37.8,-122.28,1.625,0.5026178010471204,0.16230366492146597
93,2.6354,27.0,718.0,37.79,-122.27,1.875,1.4693593314763231,0.4832869080779944
94,1.8477,39.0,1327.0,37.8,-122.27,1.792,1.2923888470233609,0.4694800301431801
95,2.0096,36.0,3469.0,37.8,-122.26,1.3,1.5361775727875469,0.7140386278466417
96,2.8345,31.0,2048.0,37.82,-122.26,1.838,2.244140625,0.64990234375
97,2.0062,29.0,202.0,37.81,-122.26,1.25,1.6584158415841583,0.5297029702970297
98,1.2185,22.0,2024.0,37.82,-122.26,1.7,1.8191699604743086,0.6274703557312253
99,2.6104,37.0,1838.0,37.82,-122.26,1.931,1.9766050054406965,0.5903155603917302
100,2.4912,29.0,2304.0,37.81,-122.25,2.578,2.0208333333333335,0.6137152777777778
101,3.2177,28.0,2563.0,37.81,-122.25,2.734,2.2653140850565743,0.6254389387436597
102,3.125,39.0,389.0,37.81,-122.25,2.375,2.1953727506426737,0.622107969151671
103,2.5795,52.0,895.0,37.81,-122.25,3.5,2.4078212290502794,0.7832402234636872
104,2.8406,34.0,2689.0,37.81,-122.26,3.357,2.183339531424321,0.7117887690591298
105,4.9306,52.0,674.0,37.82,-122.24,3.134,2.2388724035608307,0.33382789317507416
106,3.2727,52.0,709.0,37.81,-122.24,2.685,2.857545839210155,0.6798307475317349
107,3.1691,52.0,686.0,37.81,-122.25,2.594,2.56268221574344,0.6705539358600582
108,3.9,52.0,1444.0,37.82,-122.24,2.757,2.4106648199445986,0.5200831024930749
109,3.9063,28.0,1520.0,37.82,-122.25,2.25,2.1953947368421054,0.5625
110,5.0917,52.0,550.0,37.82,-122.25,2.625,2.589090909090909,0.5254545454545455
111,2.6429,32.0,1806.0,37.82,-122.25,2.185,2.1090808416389812,0.6079734219269103
112,3.0233,26.0,1749.0,37.82,-122.25,2.55,2.26357918810749,0.6838193253287593
113,3.1484,52.0,939.0,37.83,-122.25,2.241,2.5303514376996805,0.5953141640042598
114,3.4722,35.0,675.0,37.83,-122.25,2.431,2.3896296296296295,0.6340740740740741
115,3.1429,52.0,534.0,37.83,-122.25,2.316,2.3951310861423223,0.5374531835205992
116,2.4234,28.0,2558.0,37.83,-122.25,2.185,1.9632525410476935,0.6841282251759186
117,3.0897,52.0,1786.0,37.83,-122.25,2.341,2.346024636058231,0.6187010078387458
118,5.8596,50.0,970.0,37.84,-122.23,3.276,2.5927835051546393,0.411340206185567
119,5.2868,47.0,1098.0,37.84,-122.23,3.476,2.8916211293260474,0.4134790528233151
120,5.956,41.0,794.0,37.83,-122.24,3.661,3.24433249370277,0.5113350125944583
121,4.9643,37.0,98.0,37.85,-122.24,3.35,3.4081632653061225,0.5510204081632654
122,6.3434,52.0,1061.0,37.85,-122.23,3.736,2.639019792648445,0.38737040527803956
123,5.1773,52.0,1177.0,37.84,-122.24,3.895,2.998300764655905,0.4876805437553101
124,7.2354,52.0,901.0,37.85,-122.24,3.911,2.8990011098779136,0.4051054384017758
125,5.457,28.0,2031.0,37.85,-122.22,3.373,2.603151157065485,0.5160019694731659
126,7.5,50.0,1031.0,37.84,-122.22,2.952,2.8467507274490784,0.45877788554801163
127,6.0194,44.0,1358.0,37.84,-122.21,2.923,2.5213549337260677,0.43961708394698085
128,7.5544,40.0,1616.0,37.83,-122.21,4.115,3.088490099009901,0.41707920792079206
129,6.0666,30.0,844.0,37.84,-122.2,3.115,2.6196682464454977,0.4099526066350711
130,7.0548,34.0,1140.0,37.84,-122.21,3.259,2.6649122807017545,0.4298245614035088
131,11.6017,18.0,533.0,37.84,-122.19,3.926,3.0337711069418387,0.39399624765478425
132,7.4882,35.0,1072.0,37.84,-122.2,3.193,2.672574626865672,0.42910447761194037
133,6.8976,34.0,1627.0,37.83,-122.21,3.333,3.1130915795943452,0.4843269821757836
134,8.2049,28.0,463.0,37.83,-122.19,3.352,2.8639308855291583,0.3974082073434126
135,8.401,26.0,542.0,37.83,-122.2,3.512,2.9317343173431736,0.41143911439114383
136,6.8538,29.0,661.0,37.83,-122.19,3.689,2.7095310136157336,0.40998487140695916
137,8.317,32.0,635.0,37.82,-122.19,3.659,2.8897637795275593,0.415748031496063
138,7.0175,37.0,420.0,37.82,-122.2,3.667,2.926190476190476,0.430952380952381
139,6.3302,39.0,1265.0,37.82,-122.2,3.628,2.980237154150198,0.4221343873517788
140,6.3624,30.0,126.0,37.81,-122.18,4.833,2.3174603174603177,0.30158730158730157
141,7.0549,52.0,813.0,37.82,-122.21,3.314,2.921279212792128,0.4095940959409594
142,6.7851,45.0,1067.0,37.81,-122.2,3.235,2.7778819119025306,0.40862230552952195
143,2.8929,50.0,1260.0,37.8,-122.21,2.167,2.2484126984126984,0.4801587301587302
144,3.0812,38.0,951.0,37.8,-122.21,2.331,2.370136698212408,0.562565720294427
145,5.2402,52.0,510.0,37.81,-122.21,2.964,2.723529411764706,0.41568627450980394
146,6.5217,52.0,765.0,37.81,-122.22,2.737,2.5764705882352943,0.4379084967320261
147,3.2632,52.0,1129.0,37.8,-122.22,2.277,1.9335695305580158,0.41186891054030117
148,3.0298,52.0,1073.0,37.8,-122.22,1.996,2.130475302889096,0.4324324324324324
149,4.5428,52.0,1185.0,37.8,-122.22,2.398,2.2962025316455694,0.45654008438818566
150,4.072,52.0,756.0,37.81,-122.22,2.701,2.677248677248677,0.44841269841269843
151,5.3509,52.0,1034.0,37.81,-122.22,3.021,2.8471953578336557,0.5183752417794971
152,3.1603,52.0,787.0,37.8,-122.23,2.695,2.5832274459974585,0.6175349428208387
153,4.7708,52.0,612.0,37.81,-122.23,3.147,2.3415032679738563,0.3741830065359477
154,8.1564,52.0,1021.0,37.81,-122.22,3.901,2.8667972575905973,0.39373163565132224
155,8.8793,52.0,861.0,37.81,-122.23,4.103,2.6887340301974447,0.33914053426248547
156,6.8591,52.0,953.0,37.81,-122.24,3.524,2.6075550891920254,0.3284365162644281
157,6.0302,52.0,634.0,37.81,-122.24,2.873,2.3501577287066246,0.3753943217665615
158,7.508,52.0,878.0,37.81,-122.23,3.487,3.20501138952164,0.4157175398633257
159,2.7477,52.0,918.0,37.81,-122.24,2.438,2.2799564270152506,0.599128540305011
160,2.1944,52.0,360.0,37.8,-122.24,2.115,2.466666666666667,0.46666666666666673
161,3.0149,52.0,1197.0,37.8,-122.25,2.184,1.7435254803675857,0.4260651629072682
162,3.675,52.0,1048.0,37.81,-122.24,2.699,2.3979007633587788,0.47900763358778625
163,3.225,46.0,1373.0,37.81,-122.25,2.188,2.3539694100509827,0.6081573197378004
164,2.9345,42.0,1715.0,37.8,-122.25,2.25,2.402332361516035,0.6209912536443148
165,2.1429,43.0,1359.0,37.8,-122.25,2.5,1.739514348785872,0.5827814569536424
166,1.6121,41.0,1062.0,37.8,-122.25,1.714,1.385122410546139,0.44161958568738224
167,1.3929,29.0,1335.0,37.8,-122.25,1.938,1.848689138576779,0.647191011235955
168,2.3173,27.0,1171.0,37.79,-122.24,1.25,1.3936806148590948,0.4201537147736977
169,1.7772,45.0,1475.0,37.79,-122.25,0.975,1.2108474576271187,0.3566101694915254
170,2.6458,50.0,742.0,37.79,-122.25,1.25,0.8477088948787062,0.25336927223719674
171,2.181,52.0,1086.0,37.79,-122.25,1.388,1.232965009208103,0.360036832412523
172,2.2303,36.0,1645.0,37.8,-122.25,1.167,1.0200607902735563,0.36838905775075986
173,1.6504,43.0,1710.0,37.8,-122.25,1.518,1.3707602339181286,0.3783625730994152
174,2.2697,52.0,731.0,37.8,-122.24,1.27,1.362517099863201,0.3119015047879617
175,2.1563,52.0,1118.0,37.8,-122.24,1.286,1.4230769230769231,0.3336314847942755
176,2.1348,52.0,1006.0,37.8,-122.24,1.406,1.5765407554671969,0.3956262425447316
177,2.6292,47.0,1213.0,37.8,-122.24,1.827,1.686727122835944,0.48474855729596045
178,2.3833,52.0,772.0,37.8,-122.23,1.469,1.544041450777202,0.3743523316062176
179,2.957,52.0,1321.0,37.8,-122.24,1.228,1.364875094625284,0.31794095382286147
180,2.5238,49.0,1487.0,37.8,-122.24,1.693,1.9085406859448548,0.5036987222595829
181,1.9375,52.0,488.0,37.8,-122.23,1.266,1.6045081967213115,0.3770491803278688
182,1.9028,51.0,949.0,37.8,-122.23,1.279,1.675447839831401,0.4362486828240252
183,2.25,50.0,1149.0,37.8,-122.23,1.235,1.5195822454308094,0.4177545691906005
184,2.3929,52.0,844.0,37.8,-122.23,1.119,1.4834123222748816,0.3542654028436019
185,2.1917,43.0,4367.0,37.79,-122.23,1.128,1.365468284863751,0.30776276620105336
186,2.9357,52.0,1659.0,37.79,-122.23,1.079,1.0747438215792648,0.23809523809523814
187,1.8854,30.0,1011.0,37.79,-122.23,1.375,0.9881305637982196,0.26112759643916916
188,2.1638,39.0,1464.0,37.79,-122.24,1.055,1.0034153005464481,0.29439890710382516
189,2.125,47.0,1237.0,37.79,-122.24,0.955,1.1091350040420371,0.31932093775262727
190,3.375,52.0,647.0,37.79,-122.24,1.161,1.0417310664605872,0.2782071097372488
191,2.2542,43.0,1284.0,37.79,-122.24,1.122,1.266355140186916,0.29283489096573206
192,2.1,51.0,228.0,37.79,-122.25,0.75,0.7675438596491229,0.18859649122807018
193,1.6,39.0,381.0,37.79,-122.25,1.125,1.20997375328084,0.33858267716535434
194,3.625,52.0,846.0,37.79,-122.25,1.25,1.066193853427896,0.28014184397163117
195,1.6929,20.0,1659.0,37.8,-122.26,1.15,1.4303797468354431,0.4695599758890898
196,1.6471,52.0,520.0,37.77,-122.22,0.95,0.7519230769230769,0.24615384615384617
197,2.59,52.0,866.0,37.77,-122.22,0.964,1.3129330254041571,0.34757505773672054
198,2.57,52.0,612.0,37.77,-122.23,0.72,1.256535947712418,0.33660130718954245
199,2.6429,52.0,415.0,37.78,-122.23,0.713,1.1373493975903615,0.35180722891566263
200,3.0257,52.0,994.0,37.78,-122.23,0.808,0.8672032193158954,0.2162977867203219
201,1.4886,50.0,1525.0,37.78,-122.22,1.288,1.259016393442623,0.3475409836065574
202,1.9338,43.0,1506.0,37.78,-122.23,1.125,0.9428950863213812,0.31341301460823373
203,1.4844,52.0,1008.0,37.78,-122.23,1.194,0.9781746031746031,0.25595238095238093
204,1.6009,44.0,2813.0,37.78,-122.23,1.181,0.8318521151795236,0.2932811944543192
205,2.0375,48.0,1481.0,37.79,-122.23,1.225,1.1451721809588116,0.2673869007427414
206,2.293,49.0,859.0,37.79,-122.23,1.063,1.367869615832363,0.25261932479627475
207,2.1494,37.0,1608.0,37.79,-122.22,1.325,1.4570895522388059,0.35696517412935325
208,1.6198,30.0,425.0,37.79,-122.23,1.227,1.4352941176470588,0.3411764705882353
209,1.3281,40.0,564.0,37.79,-122.23,1.133,1.6489361702127658,0.3528368794326241
210,3.5156,44.0,961.0,37.79,-122.22,1.095,1.5473465140478668,0.3267429760665973
211,3.9048,52.0,2273.0,37.79,-122.22,1.647,1.506379234491861,0.3035635723713155
212,3.0893,52.0,600.0,37.79,-122.21,1.25,1.27,0.31666666666666665
213,2.6042,46.0,1647.0,37.79,-122.22,1.247,1.4365513054037644,0.3491196114146934
214,2.5,49.0,1201.0,37.79,-122.22,1.367,1.5203996669442132,0.37468776019983346
215,2.7969,38.0,2167.0,37.79,-122.22,1.417,1.4070143054914628,0.3281033687125057
216,2.8321,29.0,939.0,37.79,-122.2,1.5,1.74653887113951,0.40042598509052185
217,2.9583,47.0,859.0,37.79,-122.21,1.388,1.7962747380675204,0.3573923166472643
218,2.8365,34.0,1517.0,37.79,-122.21,1.392,1.5583388266315095,0.3671720500988794
219,2.875,35.0,1143.0,37.79,-122.21,1.438,1.52668416447944,0.357830271216098
220,3.0682,39.0,1109.0,37.8,-122.21,1.565,1.806131650135257,0.4508566275924257
221,3.0757,39.0,1221.0,37.8,-122.21,1.51,1.6527436527436528,0.36609336609336607
222,4.9559,43.0,1115.0,37.8,-122.2,2.73,2.730941704035874,0.4475336322869955
223,4.7721,52.0,706.0,37.8,-122.2,2.171,2.191218130311615,0.415014164305949
224,3.4861,52.0,1883.0,37.8,-122.21,1.871,1.8688263409453,0.37758895379713225
225,5.1184,41.0,804.0,37.8,-122.2,2.396,2.574626865671642,0.44029850746268656
226,4.0977,48.0,506.0,37.8,-122.21,2.297,2.610671936758893,0.5197628458498024
227,4.744,48.0,610.0,37.8,-122.19,2.573,2.7770491803278685,0.4245901639344261
228,4.2727,46.0,768.0,37.8,-122.19,2.469,2.5234375,0.4440104166666666
229,2.9844,50.0,462.0,37.79,-122.19,1.799,2.0952380952380953,0.42207792207792205
230,4.1739,40.0,667.0,37.79,-122.2,1.696,1.5892053973013494,0.383808095952024
231,3.8487,46.0,1059.0,37.8,-122.2,2.033,1.927289896128423,0.3824362606232295
232,4.0114,52.0,637.0,37.8,-122.19,2.634,2.8461538461538463,0.42543171114599687
233,4.6563,45.0,1106.0,37.79,-122.19,2.318,2.45750452079566,0.4077757685352622
234,2.9297,28.0,1737.0,37.79,-122.19,1.405,1.8100172711571676,0.4381116868163501
235,2.3036,35.0,1009.0,37.79,-122.2,1.26,1.7859266600594645,0.45490584737363726
236,2.6667,49.0,737.0,37.79,-122.2,1.22,1.1967435549525103,0.2645861601085482
237,2.619,44.0,1354.0,37.79,-122.2,1.347,1.1971935007385524,0.33382570162481534
238,2.4167,45.0,1530.0,37.79,-122.21,1.394,1.3823529411764706,0.3483660130718954
239,2.7788,45.0,1410.0,37.79,-122.2,1.154,1.4333333333333331,0.37446808510638296
240,2.7352,46.0,1390.0,37.78,-122.21,1.373,1.6107913669064748,0.36546762589928056
241,1.8472,52.0,1065.0,37.78,-122.21,1.37,1.3868544600938968,0.28169014084507044
242,2.6583,52.0,792.0,37.78,-122.21,1.426,1.3333333333333333,0.2828282828282828
243,3.0536,49.0,779.0,37.78,-122.21,1.375,1.152759948652118,0.31322207958921694
244,2.3906,44.0,2269.0,37.78,-122.22,1.117,1.3080652269722344,0.3129131776112825
245,1.7188,43.0,1227.0,37.78,-122.21,1.268,1.3871230643846781,0.37489812550937246
246,2.625,47.0,753.0,37.78,-122.21,1.113,1.1699867197875167,0.3293492695883134
247,2.8015,40.0,547.0,37.77,-122.22,1.148,0.903107861060329,0.20840950639853748
248,1.7276,50.0,1807.0,37.78,-122.22,1.023,0.9828444936358607,0.26175982291090205
249,2.0801,44.0,1700.0,37.78,-122.22,1.319,0.9870588235294118,0.3023529411764706
250,2.489,51.0,1543.0,37.78,-122.22,1.191,1.0609202851587816,0.30006480881399866
251,1.7546,52.0,1085.0,37.76,-122.21,0.806,1.3087557603686637,0.2894009216589862
252,4.0904,52.0,353.0,37.77,-122.21,0.806,1.6742209631728044,0.49008498583569404
253,2.6765,52.0,473.0,37.77,-122.21,0.888,1.5750528541226216,0.32346723044397463
254,2.4338,49.0,1621.0,37.77,-122.2,1.024,1.4016039481801357,0.30721776681061075
255,2.3309,46.0,1183.0,37.77,-122.21,0.987,1.0431107354184277,0.3169907016060862
256,2.2604,43.0,836.0,37.77,-122.21,1.0,1.216507177033493,0.3923444976076555
257,1.8039,42.0,900.0,37.77,-122.19,0.923,1.0355555555555556,0.2822222222222222
258,2.2562,39.0,1888.0,37.77,-122.2,0.948,1.4242584745762712,0.3162076271186441
259,2.0562,41.0,1024.0,37.77,-122.2,1.02,1.5107421875000002,0.4052734375
260,3.5398,52.0,1225.0,37.78,-122.2,1.584,1.8775510204081634,0.36163265306122455
261,3.1167,39.0,1071.0,37.78,-122.2,1.216,1.6358543417366949,0.37254901960784315
262,2.5401,50.0,1128.0,37.78,-122.2,1.291,1.6551418439716312,0.35726950354609927
263,2.898,43.0,1537.0,37.77,-122.2,1.214,1.5810019518542615,0.3266102797657775
264,2.3125,44.0,1240.0,37.78,-122.21,1.028,1.3943548387096774,0.3338709677419355
265,2.875,52.0,469.0,37.78,-122.19,1.6,2.1876332622601278,0.3837953091684435
266,3.3715,52.0,1086.0,37.77,-122.19,1.439,1.9981583793738489,0.39410681399631675
267,3.5114,52.0,1144.0,37.77,-122.19,1.512,2.035839160839161,0.388986013986014
268,4.3125,52.0,1109.0,37.78,-122.19,1.644,2.2470694319206492,0.3742110009017133
269,3.22,52.0,984.0,37.78,-122.19,1.565,2.233739837398374,0.4034552845528455
270,3.875,33.0,575.0,37.78,-122.18,2.25,0.24695652173913044,0.05391304347826086
271,5.2328,49.0,496.0,37.78,-122.19,1.742,2.3850806451612905,0.41330645161290325
272,3.7262,52.0,555.0,37.78,-122.19,1.669,1.927927927927928,0.34774774774774775
273,4.5893,45.0,869.0,37.78,-122.2,1.635,2.0322209436133485,0.38204833141542005
274,5.2578,39.0,236.0,37.79,-122.18,2.53,2.614406779661017,0.4025423728813559
275,7.0875,41.0,626.0,37.79,-122.18,2.407,2.253993610223642,0.3722044728434505
276,3.9712,46.0,922.0,37.79,-122.18,2.081,2.2874186550976137,0.4197396963123644
277,2.9514,47.0,582.0,37.79,-122.19,1.981,2.111683848797251,0.4175257731958763
278,2.6667,50.0,546.0,37.79,-122.19,1.728,1.7472527472527473,0.39743589743589747
279,5.4446,37.0,620.0,37.81,-122.18,3.367,2.65,0.42258064516129035
280,6.2838,34.0,442.0,37.8,-122.18,3.182,3.065610859728507,0.4411764705882353
281,6.7527,23.0,955.0,37.8,-122.18,2.858,2.426178010471204,0.3518324607329843
282,7.0712,24.0,916.0,37.77,-122.13,2.93,2.6844978165938866,0.3460698689956332
283,5.9849,22.0,4985.0,37.79,-122.16,3.71,2.576128385155467,0.4108324974924775
284,3.6875,42.0,651.0,37.78,-122.17,1.573,2.3410138248847927,0.39938556067588327
285,2.875,30.0,1704.0,37.77,-122.17,1.353,1.9518779342723005,0.437793427230047
286,3.4205,43.0,1085.0,37.78,-122.18,1.367,1.8294930875576036,0.4055299539170507
287,3.2984,50.0,713.0,37.78,-122.18,1.607,2.302945301542777,0.45161290322580644
288,3.875,49.0,468.0,37.78,-122.17,1.406,1.9081196581196582,0.3782051282051282
289,4.175,52.0,296.0,37.78,-122.17,1.44,2.206081081081081,0.4324324324324325
290,4.375,47.0,570.0,37.77,-122.16,1.619,2.2035087719298247,0.38070175438596493
291,4.7708,48.0,446.0,37.77,-122.16,1.563,2.190582959641256,0.4349775784753363
292,3.5739,45.0,968.0,37.77,-122.16,1.76,2.4008264462809916,0.41012396694214875
293,3.0958,39.0,857.0,37.77,-122.16,1.458,1.847141190198366,0.40723453908984825
294,3.3958,39.0,912.0,37.77,-122.17,1.419,1.7675438596491229,0.37499999999999994
295,1.871,31.0,1360.0,37.77,-122.17,0.907,1.782352941176471,0.39191176470588235
296,1.9356,41.0,1074.0,37.76,-122.17,0.906,1.484171322160149,0.34171322160148976
297,2.1842,47.0,965.0,37.76,-122.17,1.079,2.194818652849741,0.42797927461139895
298,2.2917,37.0,933.0,37.76,-122.18,1.07,1.6881028938906752,0.3837084673097535
299,2.4333,38.0,987.0,37.76,-122.17,0.982,1.7872340425531914,0.4022289766970618
300,1.9479,50.0,907.0,37.76,-122.18,0.895,1.308710033076075,0.28776185226019846
301,3.9063,52.0,447.0,37.76,-122.18,0.938,1.686800894854586,0.39149888143176736
302,1.8407,49.0,1299.0,37.76,-122.18,0.967,1.7767513471901462,0.3479599692070824
303,2.0786,27.0,396.0,37.77,-122.18,0.975,2.2954545454545454,0.595959595959596
