発注日,商品番号,商品名,単価,在庫,注文数
2022-09-06,Z4WOOIYV,商品サンプル Z4WOOIYV,90,10,6
2015-02-01,YY4HAAZR,商品サンプル YY4HAAZR,780,10,60
2018-04-01,MESUDVWQ,商品サンプル MESUDVWQ,660,40,60
2024-01-31,QRMOGNUU,商品サンプル QRMOGNUU,420,10,18
2022-11-30,X0ZE2ZMY,商品サンプル X0ZE2ZMY,90,15,6
2020-02-03,X0ZE2ZMY,商品サンプル X0ZE2ZMY,90,0,0
2021-12-11,Z4WOOIYV,商品サンプル Z4WOOIYV,90,0,0
2016-11-11,1QJFO8QY,商品サンプル 1QJFO8QY,600,10,0
2023-03-12,1QJFO8QY,商品サンプル 1QJFO8QY,600,30,30
2018-10-28,MESUDVWQ,商品サンプル MESUDVWQ,660,45,54
2017-01-29,48XMJXKO,商品サンプル 48XMJXKO,330,5,24
2020-10-02,8T7D5DQA,商品サンプル 8T7D5DQA,120,50,0
2021-06-28,8T7D5DQA,商品サンプル 8T7D5DQA,120,50,0
2016-12-04,48XMJXKO,商品サンプル 48XMJXKO,330,0,6
2024-12-24,X0ZE2ZMY,商品サンプル X0ZE2ZMY,90,30,54
2023-08-15,1QJFO8QY,商品サンプル 1QJFO8QY,600,30,24
2022-03-07,X0ZE2ZMY,商品サンプル X0ZE2ZMY,90,45,42
2019-08-06,QRMOGNUU,商品サンプル QRMOGNUU,420,35,6
2023-02-06,S6RE8W6X,商品サンプル S6RE8W6X,720,15,24
2024-07-31,2HSTCDWM,商品サンプル 2HSTCDWM,300,20,60
2021-03-17,8T7D5DQA,商品サンプル 8T7D5DQA,120,15,42
2016-03-22,QRMOGNUU,商品サンプル QRMOGNUU,420,20,36
2017-05-06,2HSTCDWM,商品サンプル 2HSTCDWM,300,30,60
2016-12-18,1QJFO8QY,商品サンプル 1QJFO8QY,600,5,24
2021-07-23,S6RE8W6X,商品サンプル S6RE8W6X,720,10,60
2017-11-25,1QJFO8QY,商品サンプル 1QJFO8QY,600,50,36
2017-02-22,1QJFO8QY,商品サンプル 1QJFO8QY,600,35,6
2024-07-29,YY4HAAZR,商品サンプル YY4HAAZR,780,5,48
2024-10-14,YY4HAAZR,商品サンプル YY4HAAZR,780,25,42
2016-11-07,Z4WOOIYV,商品サンプル Z4WOOIYV,90,25,30
2024-12-26,S6RE8W6X,商品サンプル S6RE8W6X,720,0,54
2018-07-27,S6RE8W6X,商品サンプル S6RE8W6X,720,0,24
2018-05-17,QRMOGNUU,商品サンプル QRMOGNUU,420,0,48
2020-02-12,Z4WOOIYV,商品サンプル Z4WOOIYV,90,50,24
2022-04-05,X0ZE2ZMY,商品サンプル X0ZE2ZMY,90,10,0
2021-03-31,X0ZE2ZMY,商品サンプル X0ZE2ZMY,90,25,30
2020-07-07,S6RE8W6X,商品サンプル S6RE8W6X,720,40,48
2019-04-15,2HSTCDWM,商品サンプル 2HSTCDWM,300,25,12
2018-12-05,Z4WOOIYV,商品サンプル Z4WOOIYV,90,25,0
2015-09-22,1QJFO8QY,商品サンプル 1QJFO8QY,600,40,30
2019-10-27,8T7D5DQA,商品サンプル 8T7D5DQA,120,35,18
2023-01-27,QRMOGNUU,商品サンプル QRMOGNUU,420,45,6
2024-03-12,QRMOGNUU,商品サンプル QRMOGNUU,420,5,12
2018-06-25,Z4WOOIYV,商品サンプル Z4WOOIYV,90,30,12
2021-03-27,8T7D5DQA,商品サンプル 8T7D5DQA,120,0,42
2020-08-05,2HSTCDWM,商品サンプル 2HSTCDWM,300,20,18
2020-10-17,1QJFO8QY,商品サンプル 1QJFO8QY,600,0,24
2024-04-27,QRMOGNUU,商品サンプル QRMOGNUU,420,20,36
2022-04-15,MESUDVWQ,商品サンプル MESUDVWQ,660,25,48
2024-01-25,QRMOGNUU,商品サンプル QRMOGNUU,420,50,6
2021-07-31,YY4HAAZR,商品サンプル YY4HAAZR,780,25,30
2023-05-20,1QJFO8QY,商品サンプル 1QJFO8QY,600,25,12
2023-03-12,1QJFO8QY,商品サンプル 1QJFO8QY,600,25,0
2016-02-21,Z4WOOIYV,商品サンプル Z4WOOIYV,90,20,60
2019-05-28,MESUDVWQ,商品サンプル MESUDVWQ,660,10,6
2019-02-13,8T7D5DQA,商品サンプル 8T7D5DQA,120,20,42
2023-12-10,Z4WOOIYV,商品サンプル Z4WOOIYV,90,35,30
2016-07-28,2HSTCDWM,商品サンプル 2HSTCDWM,300,45,48
2022-04-01,S6RE8W6X,商品サンプル S6RE8W6X,720,20,42
2015-07-05,YY4HAAZR,商品サンプル YY4HAAZR,780,50,18
2019-04-13,MESUDVWQ,商品サンプル MESUDVWQ,660,40,60
2016-04-30,2HSTCDWM,商品サンプル 2HSTCDWM,300,50,24
2015-03-20,1QJFO8QY,商品サンプル 1QJFO8QY,600,40,36
2016-10-24,QRMOGNUU,商品サンプル QRMOGNUU,420,20,48
2021-11-27,1QJFO8QY,商品サンプル 1QJFO8QY,600,50,54
2017-03-08,YY4HAAZR,商品サンプル YY4HAAZR,780,10,42
2015-10-14,1QJFO8QY,商品サンプル 1QJFO8QY,600,35,54
2021-02-02,QRMOGNUU,商品サンプル QRMOGNUU,420,15,30
2015-05-24,S6RE8W6X,商品サンプル S6RE8W6X,720,5,60
2019-04-29,2HSTCDWM,商品サンプル 2HSTCDWM,300,10,48
2020-12-27,QRMOGNUU,商品サンプル QRMOGNUU,420,20,30
2019-04-05,Z4WOOIYV,商品サンプル Z4WOOIYV,90,0,42
2021-08-20,1QJFO8QY,商品サンプル 1QJFO8QY,600,50,12
2021-01-31,X0ZE2ZMY,商品サンプル X0ZE2ZMY,90,25,48
2022-11-10,2HSTCDWM,商品サンプル 2HSTCDWM,300,35,42
2023-04-25,YY4HAAZR,商品サンプル YY4HAAZR,780,20,18
2020-11-22,1QJFO8QY,商品サンプル 1QJFO8QY,600,35,54
2024-04-23,YY4HAAZR,商品サンプル YY4HAAZR,780,50,6
2018-04-08,MESUDVWQ,商品サンプル MESUDVWQ,660,5,48
2022-11-01,S6RE8W6X,商品サンプル S6RE8W6X,720,15,42
2018-06-29,QRMOGNUU,商品サンプル QRMOGNUU,420,35,36
2017-05-16,YY4HAAZR,商品サンプル YY4HAAZR,780,40,60
2017-05-14,1QJFO8QY,商品サンプル 1QJFO8QY,600,20,54
2020-04-19,1QJFO8QY,商品サンプル 1QJFO8QY,600,5,54
2016-01-30,Z4WOOIYV,商品サンプル Z4WOOIYV,90,5,48
2019-06-06,QRMOGNUU,商品サンプル QRMOGNUU,420,5,54
2018-06-23,YY4HAAZR,商品サンプル YY4HAAZR,780,35,18
2015-02-22,QRMOGNUU,商品サンプル QRMOGNUU,420,50,24
2015-07-31,QRMOGNUU,商品サンプル QRMOGNUU,420,50,36
2024-05-04,8T7D5DQA,商品サンプル 8T7D5DQA,120,35,18
2023-10-19,Z4WOOIYV,商品サンプル Z4WOOIYV,90,5,24
2020-10-25,S6RE8W6X,商品サンプル S6RE8W6X,720,15,0
2018-03-01,48XMJXKO,商品サンプル 48XMJXKO,330,35,0
2019-11-12,MESUDVWQ,商品サンプル MESUDVWQ,660,10,0
2017-11-15,1QJFO8QY,商品サンプル 1QJFO8QY,600,25,48
2015-02-08,2HSTCDWM,商品サンプル 2HSTCDWM,300,5,0
2019-03-30,2HSTCDWM,商品サンプル 2HSTCDWM,300,40,24
2017-07-29,MESUDVWQ,商品サンプル MESUDVWQ,660,25,60
2023-11-28,X0ZE2ZMY,商品サンプル X0ZE2ZMY,90,35,60
2015-08-03,MESUDVWQ,商品サンプル MESUDVWQ,660,45,42
2024-03-17,QRMOGNUU,商品サンプル QRMOGNUU,420,20,60
2018-09-29,S6RE8W6X,商品サンプル S6RE8W6X,720,35,12
2024-08-16,QRMOGNUU,商品サンプル QRMOGNUU,420,45,30
2022-05-09,MESUDVWQ,商品サンプル MESUDVWQ,660,35,48
2018-05-27,1QJFO8QY,商品サンプル 1QJFO8QY,600,50,48
2020-09-12,48XMJXKO,商品サンプル 48XMJXKO,330,25,18
2018-11-16,1QJFO8QY,商品サンプル 1QJFO8QY,600,5,60
2022-05-15,2HSTCDWM,商品サンプル 2HSTCDWM,300,35,12
2021-08-02,1QJFO8QY,商品サンプル 1QJFO8QY,600,10,42
2019-05-28,X0ZE2ZMY,商品サンプル X0ZE2ZMY,90,45,30
2015-06-22,48XMJXKO,商品サンプル 48XMJXKO,330,50,36
2022-08-29,QRMOGNUU,商品サンプル QRMOGNUU,420,40,48
2016-08-07,8T7D5DQA,商品サンプル 8T7D5DQA,120,0,42
